"State / Measuring network";"Station code";"Station name";"Station setting";"Station type";"Annual mean value in µg/m³";"Number of hourly mean values above 200 µg/m³*"
Brandenburg;DEBB044;"Cottbus, Bahnhofstr.";"urban area";traffic;22;0
Brandenburg;DEBB045;"Frankfurt (Oder), Leipziger Str.";"urban area";traffic;28;0
Brandenburg;DEBB049;"Brandenburg, Neuendorfer Str.";"urban area";traffic;21;0
Brandenburg;DEBB054;"Potsdam, Zeppelinstr.";"urban area";traffic;26;0
Brandenburg;DEBB060;"Eberswalde, Breite Straße";"urban area";traffic;21;0
Brandenburg;DEBB068;"Bernau, Lohmühlenstr.";"urban area";traffic;20;0
Brandenburg;DEBB073;"Potsdam, Großbeerenstr.";"urban area";traffic;27;0
Berlin;DEBE061;"Berlin Schildhornstraße";"urban area";traffic;32;0
Berlin;DEBE063;"Berlin Silbersteinstraße 1";"urban area";traffic;36;0
Berlin;DEBE064;"Berlin Karl-Marx-Straße";"urban area";traffic;36;0
Berlin;DEBE065;"Berlin Frankfurter Allee";"urban area";traffic;28;0
Berlin;DEBE067;"Berlin Hardenbergplatz";"urban area";traffic;26;0
Berlin;DEBE069;"Berlin Mariendorfer Damm 148";"urban area";traffic;34;0
Berlin;DEBE082;"Berlin Leipziger Straße 32";"urban area";traffic;33;
Berlin;DEBE083;"Berlin Kantstraße";"urban area";traffic;26;
Berlin;DEBE084;"Berlin Hauptstraße";"urban area";traffic;37;
Berlin;DEBE085;"Berlin Herrmannstraße";"urban area";traffic;38;
Berlin;DEBE086;"Berlin Sonnenallee";"urban area";traffic;39;
Berlin;DEBE092;"Berlin Spandauer Damm";"urban area";traffic;40;
Berlin;DEBE096;"Berlin Landsberger Allee";"urban area";traffic;35;
Berlin;DEBE097;"Berlin Herrmannplatz";"urban area";traffic;38;
Baden-Württemberg;DEBW080;"Karlsruhe Reinhold-Frank-Straße";"urban area";traffic;30;0
Baden-Württemberg;DEBW098;"Mannheim Friedrichsring";"urban area";traffic;34;0
Baden-Württemberg;DEBW099;"Stuttgart Arnulf-Klett-Platz";"urban area";traffic;33;0
Baden-Württemberg;DEBW115;"Mannheim Luisenring";"urban area";traffic;32;
Baden-Württemberg;DEBW116;"Stuttgart Hohenheimer Straße";"urban area";traffic;34;0
Baden-Württemberg;DEBW117;"Ludwigsburg Friedrichstraße";"urban area";traffic;31;
Baden-Württemberg;DEBW118;"Stuttgart Am Neckartor";"urban area";traffic;38;0
